company_name,address,city,state,county,zip1,zip2,url,latitude,longitude
"Family Management Financial Solutions, Inc.",359 Rock Island Avenue,Waterloo,IA,Black Hawk County,50701,,http://www.family-finance.org/,42.501031,-92.366816
The Greenlining Institute,360 14TH ST FL 2,Oakland,CA,Alameda County,94612,,www.greenlining.org,37.803654,-122.268973
"Southern Mutual Help Association, Inc.",3602 Old Jeanerette Rd.,New Iberia,LA,Iberia Parish County,70563,,https://southernmutualhelp.org/,29.985449,-91.762808
Fair Housing Foundation,"3605 Long Beach Beach Blvd., Suite 302",Long Beach,CA,Los Angeles County,90807,,https://fhfca.org,33.822693,-118.189733
NM Eviction Prevention & Diversion,"3608 Ladera Dr NM, #B208 ",Albuquerque,NM,Bernalillo County,87120,,nmevictionprevention.com,35.123773,-106.708452
North Carolina Housing Coalition,"3608 University Blvd, #203",Durham,NC,Durham County,27707,,nchousing.org,35.967595,-78.948966
Homes on the Hill CDC,3659 Soldano Blvd.,Columbus,OH,Franklin County,43228,,http://hoth-cdc.org/,39.955259,-83.097904
Southern Dallas Progress Community Development Corporation,3662 W. Camp Wisdom Rd. Suite 2044,Dallas,TX,Dallas County,75237,,http://southerndallasprogress.com/,32.659614,-96.87899
Legacy Foundation,"370 E. 84th Drive, Suite 100",Merrillville,IN,Lake County,46410,,http://legacyfdn.org/,41.464653,-87.257756
Community Housing Fund,"3700 SW Murray Blvd, Room 190",Beaverton,OR,Washington County,97005,,http://www.thecommunityhousingfund.org,45.493057,-122.825518
City of Dayton Human Relations Council,371 W. Second Street Suite 100,Dayton,OH,Montgomery County,45402,,www.daytonhrc.org,39.760216,-84.198783
Providence Revolving Fund,372 West Fountain Street,Providence,RI,Providence County,02903,,https://www.revolvingfund.org/about.php,41.8188,-71.422003
Chhaya Community Development Corporation,"37-43 77th Street, 2nd Floor",Jackson Heights,NY,Queens County,11372,,www.chhayacdc.org,40.747959,-73.888691
"United Community Resources, Inc.",3743 Sumpter Ct.,Cleveland,OH,Cuyahoga County,44115,,,41.495767,-81.659924
360 Recycling,375 Rockbridge Rd NW Suite 172 Suite 107,Lilburn,GA,Gwinnett County,30047,,360recyclinginc.com,33.88326,-84.163988
Athens-Clarke County Unified Government,375 Satula Ave,Athens,GA,Clarke County,30601,,accgov.com,33.966373,-83.40029
Groundswell Capital,376 South Stone Avenue,Tucson,AZ,Pima County,85701,,groundswellcapital.org,32.216639,-110.970715
Community Development Alliance,3800 W Lisbon Ave.,Milwaukee,WI,Milwaukee County,53203,,housingplan.org,43.05534,-87.96153
"American Debt Resources, Inc.","384 Larkfield Road, Suite 1",East Northport,NY,Suffolk County,11731,,http://www.americandebtresources.com,40.866655,-73.321952
Empowerment Headquarters CDC,3886 Green Point Drive,Greensboro,NC,Guilford County,27407,,ehcdc.org,36.040612,-79.86183
Inclusiv,39 Broadway,New York City,NY,New York County,10006,,https://inclusiv.org/,40.708834,-74.013168
"TruFund Financial Services, Inc.",39 West 37th Street,New York City,NY,New York County,10018,,https://www.trufund.org/,40.751326,-73.985248
Neighborhood Community Development Fund,3923 Perrysville Avenue,Pittsburgh,PA,Allegheny County,15214,,ncd-fund.org,40.49032,-80.018915
Neighborhood Housing Services of Los Angeles County,3926 Wilshire Blvd.  Suite 200,Los Angeles,CA,Los Angeles County,90010,,www.lanhs.org,34.06153,-118.31213
Marshall Heights Community Development Organization Inc,3939 Benning Road NE,Washington,DC,District of Columbia,20019,,http://www.mhcdo.org/,38.893885,-76.947185
Succeed MS,394 Forrest Avenue,Biloxi,MS,Harrison County,39530,,,30.40858,-88.903233
Community First,"3942 W Lisbon Ave, Milwaukee WI 53208  Ste 27",Milwaukee,WI,Milwaukee County,53208,,http://www.cfmke.org,43.055699,-87.962875
Genesee Co-op Federal Credit Union,395 Gregory St,Rochester,NY,Monroe County,14620,,genesee.coop,43.142902,-77.60137
Start Garden,40 Pearl Street Northwest,Grand Rapids,MI,Kent County,49507,,startgarden.com,42.966026,-85.669809
Legal Services NYC,40 Worth Street,New York City,NY,New York County,10013,,lsnyc.org,40.717305,-74.006998
PathStone Corporation,400 East Avenue,Rochester,NY,Monroe County,14607,,http://www.pathstone.org,43.155275,-77.593283
Borealis Philanthropy,"400 S 4th St Suite 410 PMB 280267 Minneapolis, MN, 55415-1419",Baltimore,MD,Hennepin County,21213,,borealisphilanthropy.org,39.314942,-76.577841
"Embarras River Basin Agency, Inc.",400 West Pleasant Street,Greenup,IL,Cumberland County,62428,,erbainc.org,39.247382,-88.169018
City of Gary Dept. of Community Development Division,"401 Broadway, Suite 300",Gary,IN,Lake County,46402,,www.gary.gov,41.603533,-87.336432
I-LEAD Charter School,401 Penn Street,Reading,PA,Berks County,19601,,https://i-leadusa.org/,40.335853,-75.929293
Advocates for Community and Rural Education DBA Rural Community Alliance,401 Scott Street Suite 5,Little Rock,AR,Pulaski County,72201,,thenewrural.org,34.744744,-92.269481
Wilmington Neighborhood Conservancy Land Bank,404 North Market St,Wilmington,DE,New Castle County,19801,,wilmingtonlandbank.org,39.740619,-75.550931
Fair Housing Center of Southwest Michigan,"405 W. Michigan, Suite #6",Kalamazoo,MI,Kalamazoo County,49007,,http://www.fhcswm.org/,42.291423,-85.588848
Local First Arizona,407 E Roosevelt St,Phoenix,AZ,Maricopa County,85004,,https://www.localfirstaz.com/,33.458545,-112.068644
Robert Schalkenbach Foundation,407 Nassau Street,Princeton,NJ,Mercer County,08540,,schalkenbach.org,40.3548,-74.642102
Communities First Inc,415 W. Court Street,Flint,MI,Genesee County,48503,,communitiesfirstinc.org,43.01028,-83.69219
Goldenrule Housing & Community Development Corp,417 E. 2nd Street,Oviedo,FL,Seminole County,32765,,http://www.goldenrulehousing.org/,28.645248,-81.121637
Community Investment Fund of Indiana,"4181 E 96th Street, Suite 200",Indianapolis,IN,Marion County,46240,,http://www.capitalizingIndiana.org,39.926157,-86.093777
Arizona Bar Foundation,"4201 N. 24th Street, Suite 210",Phoenix,AZ,Maricopa County,85016,,https://azbf.org,33.496673,-112.029402
Northwest Side Community Development Corporation,"4201 North 27th Street, 7th Floor",Milwaukee,WI,Milwaukee County,53216,,www.nwscdc.org,43.093148,-87.948943
"Bainbridge Group, Inc",4222 Tackawanna St,Philadelphia,PA,Philadelphia County,19124,,http://www.bainbridgecorp.org,40.008347,-75.086844
Alliance for Community Impact,4226 Squaw Creek Drive,Frisco,TX,Collin County,75035,,acipeople.org,33.113493,-96.778465
Community Development Corp of Oregon,"4233 SE 182nd Ave, PMB #367",Gresham,OR,Multnomah County,97030,,rockwoodcdc.org,45.491874,-122.475913
Latino Prosperity,424 Fremont Ave,South Pasadena,CA,Los Angeles County,91030,,latinoprosperity.org,34.121119,-118.153594
City of Rockford,425 East State Street,Rockford,IL,,61104,,rockfordil.gov,42.267715,-89.088114
MOQC (Michigan Oncology Quality Consortium),4251 Plymouth Rd.,Ann Arbor,MI,Washtenaw County,48105,,moqc.org,42.311071,-83.676272
Neighborhood Allies,429 Fourth Avenue,Pittsburgh,PA,Allegheny County,15219,,neighborhoodallies.org,40.438528,-79.998369
Center for Economic and Social Justice,4318 31st St N,Arlington,VA,Arlington County,22207,,cesj.org,38.910817,-77.117288
Essex Community Land Trust,435 North Arlington Ave,East Orange,NJ,Essex County,07017,,http://www.essexclt.org/,40.774377,-74.201082
Massachusetts Association of Community Development Corporations,44 School Street Suite 800,Boston,MA,Suffolk County,02108,,https://www.macdc.org/,42.357689,-71.059651
Community Development Advocates of Detroit,440 Burroughs St Suite 201,Detroit,MI,Wayne County,48202,,www.cdad-online.org,42.365064,-83.073014
Detroit Future City,"440 Burroughs St., Suite 229",Detroit,MI,Wayne County,48202,,detroitfuturecity.com,42.365064,-83.073014
Community Service Council of Northern Will County,440 Quadrangle Dr. Suite C,Bolingbrook,IL,Will County,60440,,http://www.thecsc.org,41.687353,-88.074327
Eastside Community Network,4401 Conner Street,Detroit,MI,Wayne County,48215,,ecn-detroit.org,42.386307,-82.97085
Delridge Neighborhoods Development Association,4408 Delridge Way Southwest,Seattle,WA,King County,98106,,dnda.org,47.563792,-122.363008
Fair Housing Contact Service,441 Wolf Ledges Parkway,Akron,OH,Summit County,44311,,http://www.fairhousingakron.org/,41.071652,-81.520174
Fair Housing Rights Center in Southeastern PA,"444 N. 3rd Street, Suite 110",Philadelphia,PA,Philadelphia County,19123,,http://fairhousingrights.org,39.958678,-75.144017
Global Detroit,4444 2nd Avenue,Detroit,MI,Wayne County,48201,,globaldetroitmi.org,42.351995,-83.06653
Fair Housing Center of Central Indiana,"445 N Pennsylvania St, Ste 811",Indianapolis,IN,Marion County,46204,,https://www.fhcci.org/,39.773828,-86.155757
New Jersey Environmental Justice Alliance,45 Academy Street Suite #205,Trenton,NJ,Mercer County,08608,,njeja.org,40.221717,-74.763507
"CORE Services Group, Inc.","45 Main Street, Suite 711",Brooklyn,NY,Kings County,11201,,coresvcs.org,40.702769,-73.990584
The Enterprise Center,4548 Market St,Philadelphia,PA,Philadelphia County,19139,,http://www.theenterprisecenter.com/,39.958043,-75.212655
Greater Bridgeport Community Enterprises,459 Iranistan Avenue,Bridgeport,CT,Fairfield County,06605,,greenbpt.com,41.167131,-73.199634
"Mobile Community Action, Inc.",4610 Donald Street,Mobile,AL,Mobile County,36617,,www.mca.mobile.com,30.714625,-88.088218
Horizon Housing Community Development,4637 Knollcroft Rd,Dayton,OH,Montgomery County,45426,,Horizondevelopment.org,39.821636,-84.273119
HousingNOLA,"4640 S. Carrollton Ave, Suite 160",New Orleans,LA,Orleans Parish County,70119,,http://www.housingnola.org/,29.973191,-90.101299
"Western Reserve Community Fund, Inc.",47 North Main Street,Akron,OH,Summit County,44308,,www.developmentfinanceauthority.org,41.086361,-81.516198
MHANY Management,470 Vanderbilt Ave,Brooklyn,NY,Kings County,11238,,mutualhousingny.org,40.682962,-73.967972
Detroit Justice Center,4731 Grand River Ave,Detroit,MI,Wayne County,48208,2250,detroitjustice.org,42.347327,-83.086599
LOVE Building,4731 Grand River Avenue,Detroit,MI,Wayne County,48208,,thelovebuilding.org,42.347327,-83.086599
Rise Economy,474 Valencia Street  Suite 230,San Francisco,CA,San Francisco County,94103,,www.calreinvest.org,37.765409,-122.422417
"Rockland Housing Action Coalition, Inc.","475 Route 304, Suite 1",New City,NY,Rockland County,10956,,http://rhachomes.org/,41.130826,-73.992017
CLECHA,4830 Mission St,San Francisco,CA,San Francisco County,94112,,https://www.clecha.org,37.720904,-122.43814
Miles College Community Development Corporation,4901 Lloyd Noland Parkway,Fairfield,AL,Jefferson County,35064,,greenwoodcommunity.org,33.490332,-86.911121
South Dallas Fair Park Innercity Community Development Corporation,4907 Spring Ave,Dallas,TX,Dallas County,75210,,http://www.icdc.biz/,32.777716,-96.738723
"Housing Instruction Development Empowering Finance, Inc.","4955 Felspar Street, Suite L",Jurupa Valley,CA,Riverside County,92509,,http://www.hidefinc.com,33.998303,-117.484716
Nonprofit Finance Fund,5 Hanover Place,New York City,NY,New York County,10004,,nff.org,40.704952,-74.009131
Community Action Partnership of Middle Alabama,5 Village Square,Clanton,AL,Chilton County,35045,,www.capmal.com,32.838199,-86.631568
"Association for Neighborhood & Housing Development, Inc. ANHD",50 Broad Street  Suite 1402,New York City,NY,New York County,10004,,www.anhd.org,40.705819,-74.011562
Community Legal Aid Services Inc.,50 S. Main St. Suite 800,Akron,OH,Summit County,44308,,www.communitylegalaid.org,41.083701,-81.517674
The Housing Authority of the City of High Point,500 East Russell Avenue,High Point,NC,Guilford County,27260,,http://www.hpha.net,35.95159,-79.998089
Oregon Human Development Corporation,"500 NW 20th St, SUITE 100",Gresham,OR,Multnomah County,97030,,www.OHDC.org,45.511189,-122.436889
Montana Fair Housing,501 E. Front St Suite 504,Butte,MT,Silver Bow County,59701,,http://montanafairhousing.org/,46.000431,-112.5296
Urban League of Essex County,508 Central Avenue 2nd Floor,Newark,NJ,Essex County,07107,,http://ulec.org/,40.748219,-74.194643
"Habitat for Humanity of Hillsborough County FL, Inc.",509 E Jackson Street,Tampa,FL,Hillsborough County,33602,,,27.947612,-82.455253
Urban Erie Community Development Corporation,51 LAKEVIEW AVE,Buffalo,NY,Erie County,16510,,uecdc.org,42.89606,-78.886424
Community First Fund,51 South Duke Street Suite 400,Lancaster,PA,Lancaster County,17602,,https://communityfirstfund.org/,40.036798,-76.302978
Downtown Austin Alliance Foundation,515 Congress Avenue,Austin,TX,Travis County,78701,,downtownaustin.com,30.267685,-97.742486
Harlingen Community Development Corporation,518 E. Harrison Avenue,Harlingen,TX,Cameron County,78550,9144,www.harlingencdc.org,26.190441,-97.690421
"Los Angeles LDC, Inc.","520 North La Brea Ave, Suite 108",Inglewood,CA,Los Angeles County,90302,,www.losangelesldc.com,33.969683,-118.355995
Dignity Housing Inc.,5227 Rear Germantown Avenue,Philadelphia,PA,Philadelphia County,19144,,dignityhousing.org,40.031704,-75.167022
Northwest Side Housing Center,5233 West Diversey Ave,Chicago,IL,Cook County,60639,,www.nwshc.org,41.93113,-87.757783
Housing Resources of Western Colorado,524 30 Road,Grand Junction,CO,Mesa County,81504,,hrwco.org,39.081536,-108.669582
"Latino Chamber of Commerce of Dane County, Inc.",5262 Verona Road,Madison,WI,Dane County,53711,,lccwi.org,43.021804,-89.470421
Proud Ground,5288 N Interstate Avenue,Portland,OR,Multnomah County,97217,,http://proudground.org/,45.560772,-122.681829
Hip Hop Caucus,529 14th St NW Ste 952,Washington,DC,District of Columbia,20045,,hiphopcaucus.org,38.897027,-77.031549
"Increase One, Inc",53 Mosley Ave,West Point,MS,Clay County,39773,,,33.598919,-88.640994
People Trust,5300 W. 65th Street,Little Rock,AR,Pulaski County,72209,,http://www.providingequalopportunities.org/,34.690708,-92.335333
Foundation for Pops,5301 Oakman Blvd. ,Dearborn,MI,Wayne County,48126,,foundationforpops.org,42.32723,-83.169364
SHARE Baltimore Inc.,5307 Belair Road,Baltimore,MD,City of Baltimore,21206,,sharebaltimore.org,39.337569,-76.551957
Voice of Calvary Ministries,531 W Capitol Street,Jackson,MS,Hinds County,39203,,http://vocm.org/,32.301193,-90.195003
Consumer Advocates Against Reverse Mortgage Abuse,5329 Surfrider Way,Oxnard,CA,Ventura County,93035,,http://caarma.org/,34.193826,-119.244297
Houston Area Urban Community Development Corporation,5330 Griggs Rd Suite A104,Houston,TX,Harris County,77021,,http://www.haucdc.org/,29.695735,-95.333522
SC UpLift Community Outreach,5338 Ridgeway Street,Columbia,SC,Richland County,29203,,scuplift.org,34.055564,-81.042694
Housing Opportunity Development Corporation,5340 Lincoln Avenue,Skokie,IL,Cook County,60077,,www.hodc.org,42.034406,-87.761107
G's Victory International LLC,5401 S. Kirkman Rd. Suite 310,Orlando,FL,Orange County,32819,,gsvictoryusasl.org,28.484459,-81.458424
Neighborhood Recovery Community Development Corporation,5445 Almeda Road Suite 505,Houston,TX,Harris County,77004,7434,nrcdc.org,29.721077,-95.378734
Reparation Generation,548 Market Street,Berkeley,CA,San Francisco County,94701,,reparationgeneration.org,37.958378,-122.362947
Center for New York City Neighborhoods,"55 Broad St, 10th Floor",New York City,NY,New York County,10004,,www.cnycn.org,40.705121,-74.0114
Melanate,55 Broadway,New York City,NY,Manhattan,10006,,melanate.org,40.708834,-74.013168
"Akron Summit Community Action, Inc.",55 East Mill St,Akron,OH,Summit County,44309,,http://ascainc.org/,41.08243,-81.516929
Boston Neighborhood Community Land Trust,550 Dudley Street,Roxbury,MA,Suffolk County,02119,,www.bnclt.org,42.321651,-71.071991
Desert Star Institute for Family Planning,5501 N 19th Ave Ste 420,Phoenix,AZ,Maricopa County,85015,,desertstarfp.org,33.517181,-112.098617
"Pacific Community Ventures, Inc.","555 Massachusetts Ave NW, Apt 1103",Washington,DC,District of Columbia,20001,,www.pacificcommunityventures.org,38.901656,-77.019175
Fair Housing Center of Metropolitan Detroit,"5555 Conner St, Suite 1017",Detroit,MI,Wayne County,48213,,http://fairhousingdetroit.org,42.390255,-82.982082
Urban League of Broward County/Central County Community Development Corporation,560 NW 27th Avenue,Fort Lauderdale,FL,Broward County,33311,,www.ulbroward.org,26.127572,-80.17722
Invest STL,5600 Delmar Boulevard,St. Louis,MO,St. Louis City,63112,,investstl.org,38.653486,-90.282587
Minorities Allied Lenders Inc,5603 Westfield Avenue,Pennsauken Township,NJ,Camden County,08110,,Minalenders.org,39.960491,-75.062703
Ponce Neighborhood Housing Services,57 Calle Mendez Vigo,Ponce,PR,Ponce County,00733,,poncenhs.org,18.013131,-66.616049
"Consumer Action, Inc.","57 Post Street, Room 611",San Francisco,CA,San Francisco County,94104,,www.consumer-action.org,37.788747,-122.403034
Building Neighborhoods Together fka Bridgeport Neighborhood Trust,570 State Street,Bridgeport,CT,Fairfield County,06604,,www.bntweb.org,41.17495,-73.195909
Consolidated Credit,5701 W. Sunrise Blvd.,Sunrise,FL,Broward County,33351,,http://www.consolidatedcredit.org/,26.137206,-80.225917
Roosevelt Southwest Community Development Corporation,5728 Sycamore Avenue,Birmingham,AL,Jefferson County,35228,,,33.446771,-86.922443
Gary Housing Authority,"578 Broadway, 2nd Floor",Gary,IN,Lake County,46402,,www.garyhousing.org,41.600592,-87.337301
Universal Housing Solutions CDC,5820 W Chicago Ave,Chicago,IL,Cook County,60651,,,41.89505,-87.771222
Wyandanch CDC,59 Cumberbach Street,Wyandanch,NY,Suffolk County,11798,,http://www.wyandanchcdc.org/,40.739095,-73.364775
ACHIEVEability,5901 Market Street,Philadelphia,PA,Philadelphia County,19139,,achieveability.org,39.96224,-75.239328
Dorchester Bay Economic Development Corporation,"594 Columbia Rd, Ste 302",Dorchester,MA,Suffolk County,02125,,http://www.dbedc.org/,42.317252,-71.065128
Northwest Indiana Reinvestment Alliance,5948 Hohman Avenue,Hammond,IN,Lake County,46320,,www.nwireinvestmentalliance.org,41.605634,-87.522119
New Jersey Institute for Social Justice,"60 Park Place, Suite 511",Newark,NJ,Essex County,07102,,njisj.org,40.738464,-74.16924
National Housing Institute,"60 S. Fullerton Ave., #206",Montclair,NJ,Essex County,07042,2632,www.nhi.org,40.811177,-74.218948
LISC Greater Kansas City,"600 Broadway, Ste. 280",Kansas City,MO,Jackson County,64105,,http://www.lisc.org/kansas-city,39.106181,-94.588826
Providence Omnistructure,600 N Smithwick Street,Williamston,NC,Martin County,27892,,ProvidenceOmnistructure.org,35.859627,-77.057538
National Coalition for Community Capital,600 Park Offices Dr,Durham,NC,Durham County,27709,,nc3now.org,35.897414,-78.870487
"Delaware Community Reinvestment Action Council, Inc.",600 S. Harrison St.,Wilmington,DE,New Castle County,19805,,www.dcrac.org,39.738953,-75.566875
North Seattle Community College Foundation DBA American Financial Solutions,600 University Street Suite 2409,Seattle,WA,King County,98101,,www.myfinancialgoals.org,47.609667,-122.332292
Neighborhood Housing Services of Birmingham,601 19th St N,Birmingham,AL,Jefferson County,35203,,http://www.nhsbham.org/,33.518891,-86.810187
BENS Connects CDC,601 19th St North,Birmingham,AL,Jefferson County,35023,,https://www.bensconnects.com/community-development,33.404998,-86.957063
"Community Service Programs of West Alabama, Inc.",601 Black Bears Way,Tuscaloosa,AL,Tuscaloosa County,35401,,www.cspwal.com,33.196394,-87.544851
American Association of Retired Persons (AARP),"601 E Street, NW",Washington,DC,District of Columbia,20049,,http://www.aarp.org/,38.896367,-77.020213
Community Link NC,601 E. 5th Street Suite 220,Charlotte,NC,Mecklenburg County,28202,,communitylink-nc.org,35.223654,-80.836411
Henrietta Johnson Medical Center,601 New Castle Avenue,Wilmington,DE,New Castle County,19801,,https://www.hjmc.org/,39.727496,-75.543763
"Center for Fair Housing, Inc.",602 Bel Air Blvd Suite 7,Mobile,AL,Mobile County,36606,,www.sacfh.org,30.669268,-88.118344
American Credit Counseling Institute,603 Swede St,Norristown,PA,Montgomery County,19401,,http://www.americancci.org/,40.117582,-75.34286
Neighborworks Umpqua,605 SE Kane,Roseburg,OR,Douglas County,97470,,http://www.nwumpqua.org/,43.2079,-123.342664
Hard Bargain Assocation,608 Mount Hope Street,Franklin,TN,Williamson County,37064,,www.hardbargain.org,35.927495,-86.87663
Corporation for Supportive Housing,61 Broadway Suite 2300,New York City,NY,New York County,10006,,https://www.csh.org/,40.706957,-74.01251
The Cherry Community Organization,610 Baldwin Avenue,Charlotte,NC,Mecklenburg County,28204,,https://thehistoriccherry.org/cherry-community-organization/,35.208942,-80.833566
Philanthropiece,6105 Monarch Road,Longmont,CO,Boulder County,80503,,philanthropiece.org,40.094555,-105.211515
PFC Black Chamber Of Commerce Tampa Bay Inc,"615 Channelside Dr, Suite 207",Tampa,FL,Hillsborough County,33602,,pfcblackchambertampabay.org,27.943321,-82.446664
Habitat for Humanity of Michigan,618 Creyts Road Suite A,Lansing,MI,Eaton County,48917,,http://www.habitatmichigan.org/,42.727293,-84.643071
"Housing Options & Planning Enterprises, Inc.","6188 Oxon Hill Road, Suite 700",Oxon Hill,MD,Prince George's County,20745,,www.hopefinancial.org,38.803554,-76.981377
Opportunity Finance Network,620 Chestnut Street,Philadelphia,PA,Philadelphia County,19106,,ofn.org,39.949115,-75.151037
SEED,6201 Riverdale Rd,Riverdale,MD,Prince George's County,20737,,seedinc.org,38.960356,-76.911705
Community Action of Etowah County,624 Broad Street,Gadsden,AL,Etowah County,35901,,www.caaalabama.org,34.014403,-86.007541
New Jersey Citizen Action,625 Broad Street,Newark,NJ,Essex County,07102,,www.njcitizenaction.org,40.740249,-74.169822
Cypress Hills Local Development Corporation,625 Jamaica Avenue,Brooklyn,NY,Kings County,11208,,www.cypresshills.org,40.686348,-73.881038
green|spaces,63 E Main St,Chattanooga,TN,Hamilton County,37408,,greenspaceschattanooga.com,35.035567,-85.305451
Southwest Neighborhood Housing Services,6301 4th St NW Suite 5,Albuquerque,NM,Bernalillo County,87107,,www.nhsofalb.org,35.14874,-106.639357
Social Innovatus,630-1/2 N Genesee Avenue,Los Angeles,CA,Los Angeles County,90036,,https://saveourplanet.org/projects/social-innovatus/,34.08274,-118.35827
Southwest CDC,6328 Paschall Avenue,Philadelphia,PA,Philadelphia County,19142,,http://www.southwestcdc.org/,39.926008,-75.230715
Grow America,633 3rd Avenue,BROOKLYN,NY,Brooklyn County,11232,,growamerica.com,40.665665,-73.995795
"Long Island Housing Services, Inc.",640 Johnson Avenue  Suite 8,Bohemia,NY,Suffolk County,11716,,www.lifairhousing.org,40.781209,-73.09781
Walker County Community Action Agency,644 19th St West,Jasper,AL,Walker County,35501,,caawalker.org,33.832526,-87.281962
Memorial Community Development Corporation,645 Connie Robinson Way,Evansville,IN,Vanderburgh County,47713,,memorialcdc.org,37.954531,-87.559175
Inner City Public-Private Community Development Coalition,"6500 Central Avenue, Suite 100",Seat Pleasant,MD,Prince George's County,20744,,www.ICCDC.org,38.887466,-76.89583
"Northwest Counseling Service, Inc.",6521 N. Broad Street,Philadelphia,PA,Philadelphia County,19126,,www.nwcsinc.org,40.052978,-75.141205
"Housing Initiative Partnership, Inc.",6525 Belcrest Road Suite 555,Hyattsville,MD,Prince George's County,20782,,http://hiphomes.org/wp/,38.969391,-76.95343
You Can Make It Homeownership Center,660 Fitzhugh Blvd Suite 108,Smyrna,TN,Rutherford County,37167,,http://ycmihomeownership.org/,36.002171,-86.507885
Woodstock Institute,"67 E. Madison Street, Suite 2108",Chicago,IL,Cook County,60603,,www.woodstockinst.org/,41.881939,-87.625767
Housing Action Illinois,"67 East Madison Street, Suite 1603",Chicago,IL,Cook County,60603,,www.housingactionil.org,41.881939,-87.625767
"Lafayette Neighborhood Housing Services, Inc. dba HomesteadCS",671 N 36th St,Lafayette,IN,Tippecanoe County,47905,,homestead-resources.org,40.42279,-86.850398
"Solo Por Hoy, Inc.",68 Calle Georgetti,San Juan,PR,San Juan County,00925,,www.soloporhoy.org,18.397075,-66.050738
"Central Islip Civic Council, Inc.",68 Wheeler Road,Central Islip,NY,Suffolk County,11722,,http://www.centralislipciviccouncil.org,40.795607,-73.206734
Piedmont Housing Alliance,682 Berkmar Circle,Charlottesville,VA,Charlottesville City County,22901,,www.piedmonthousing.org,38.085199,-78.478956
EmpowHer Institute,6820 La Tijera Blvd Ste 108,Los Angeles,CA,Los Angeles County,90045,,empowher.org,33.97671,-118.37219
"Manna, Inc.",6856 Eastern Av NW #100,Washington,DC,District of Columbia,20012,,http://www.mannadc.org,38.974165,-77.013747
Brownsville Community Culinary Center,"69 Belmont Avenue Brooklyn, NY, 11212",Brooklyn,NY,Kings County,11212,,thebccc.org,40.668891,-73.907857
"Ariva, Inc.","69 E. 167 Street, 2nd Floor",Bronx,NY,Bronx County,10452,,http://www.ariva.org,40.835571,-73.920345
"Bridging Communities, Inc.",6900 McGraw Street,Detroit,MI,Wayne County,48210,1936,www.bridgingcommunities.org,42.33817,-83.134722
Consumers Council of Missouri,6921 Etzel Ave,University City,MO,St. Louis County,63130,,https://moconsumers.org,38.667978,-90.314411
Harmony CDC,6969 Pastor Bailey Dr. Suite 110,Dallas,TX,Dallas County,75237,,www.harmonycdc.org,32.664294,-96.874824
The Community Foundation for Greater New Haven,70 Audubon Street,New Haven,CT,New Haven County,06510,,cfgnh.org,41.310946,-72.92091
Rebirth Community Corporation,700 23rd Avenue Northwest,Center Point,AL,Jefferson County,35215,,rebirthcc.org,33.645185,-86.706232
Tanner Properties Inc.,"700 E. Jefferson Street, Suite 230",Phoenix,AZ,Maricopa County,85034,,,33.447495,-112.064722
African American Trade Association,"7000 East 47th Avenue Drive, Suite 100",Denver,CO,Denver County,80216,,https://aatrade.org,39.782268,-104.909553
"National Consumer Reporting Association, Inc. (NCRA)",701 E. Irving Park Rd. Suite 306,Roselle,IL,DuPage County,60172,,www.ncrainc.org,41.979744,-88.063967
Eastmont Community Center,701 Hoefner Avenue,East Los Angeles,CA,Los Angeles County,90022,,eastmontcommunitycenter.org,34.021064,-118.14994
Metropolitan Development and Housing Agency,701 South 6th Street,Nashville,TN,Davidson County,37206,,nashville-mdha.org,36.166527,-86.757853
"Pickens Community Action and Development Corporation, Inc.",71 Lakeside Street,Carrollton,AL,Pickens County,35447,,www.caapickens.org,33.257577,-88.090003
NeighborWorks Western Pennsylvania,710 Fifth Avenue  Suite 1000,Pittsburgh,PA,Allegheny County,15219,,www. nhswpa.org,40.438525,-79.992971
City of Birmingham,710 North 20th Street,Birmingham,AL,Jefferson County,35203,,http://www.birminghamal.gov/,33.52004,-86.810872
Zilber Family Foundation,710 North Plankinton Avenue,Milwaukee,WI,,53203,,zilberfamilyfoundation.org,43.039109,-87.911021
National Economic and Social Development Action Committee (NESDAC),7105 Hastings Road,Dixon,CA,Solano County,95620,,thenesdac.org,38.286461,-121.787796
Dallas City Homes,711 NORTH BECKLEY AVENUE SUITE D,Dallas,TX,Dallas County,75203,,https://dallascityhomes.org/,32.751132,-96.82318
PYT Funds (fka Pay Your Tuition Foundation a Project of the Giving Fund),712 H St NE,Washington,DC,District of Columbia,20002,,https://www.gopyt.com/#tab2,38.900445,-76.995541
Jurisdiction-Wide Resident Advisory Board (Jrab Inc.),7162 Reading Road,Cincinnati,OH,Hamilton County,45237,,jrab.org,39.19136,-84.461234
Empower Next Generations,720 Seneca Street Suite #1071048,Seattle,WA,King County,98101,,empowernextgenerations.org,47.609538,-122.330254
Income Movement,725 NE JESSUP ST,Portland,OR,Multnomah County,97214,,incomemovement.com,45.564212,-122.658108
Coalition for Nonprofit Housing and Economic Development,"727 15th NW, Suite 600",Washington,DC,District of Columbia,20005,,www.cnhed.org,38.899618,-77.033257
National Low Income Housing Coalition,727 15th Street NW  6th Floor,Washington,DC,District of Columbia,20005,,http://www.nlihc.org,38.899618,-77.033257
Poverty & Race Research Action Council,740 15th Street NW. Third Floor,DC,DC,District of Columbia,20005,,http://www.prrac.org/,38.899927,-77.033931
